resolucion,identificador,resumen,Estado,
Resolución 16 de 2024 de Ministerio de la Industria Alimentaria,GOC-2024-161-O23,Establece cambios en la comercialización de dos productos provenientes de la pesca comercial no estatal.,No disponible,
Resolución 52 de 2022 de Ministerio de la Industria Alimentaria,GOC-2022-967-O104,Establece provisionalmente cambios en la comercialización de los productos provenientes de la pesca comercial no estatal.,No disponible,
Resolución 17 de 2022 de Ministerio de la Industria Alimentaria,GOC-2022-329-O38,Aprueba el “Procedimiento para el otorgamiento de autorizaciones de pesca en la República de Cuba”.,Modificada,
Resolución 16 de 2022 de Ministerio de la Industria Alimentaria,GOC-2022-328-O38,Aprueba para la actividad de pesca comercial no estatal el desembarque de especies de gran porte.,No disponible,
Resolución 205 de 2008 de Ministerio de la Industria Pesquera,GOC-2008-1125-O53,"Modifica, con carácter provisional, la talla mínima legal para la especie Ronco Jeníguano (Haemulon aurolineatum), de 18 cm dispuestos inicialmente a 13 cm, excepcionalmente para la Zona de Pesca del Golfo de Batabanó.",No disponible,
Resolución 166 de 2008 de Ministerio de la Industria Pesquera,GOC-2008-851-O44,"Autoriza el calado de un total de 21 tranques por parte de las empresas pesqueras industriales de Camagüey y Las Tunas,  EPICAM y EPITUN, respectivamente, pertenecientes al Grupo Empresarial PESCACUBA, y a las empresas pesqueras de Holguín y Guantánamo, PESCAHOL y PESCAGUAN, respectivamente, pertenecientes al Grupo Empresarial INDIPES, en las cantidades y lugares que  se relacionan.",No disponible,
Resolución 138 de 2008 de Ministerio de la Industria Pesquera,GOC-2008-796-O42,Establece una talla máxima legal para las hembras de la Langosta común que sean capturadas en las faenas de pesca.,No disponible,
Resolución 235 de 2007 de Ministerio de la Industria Pesquera,GOC-2008-16-EX4,"Levanta la veda total establecida para la especie comúnmente denominada camarón (Penaeus spp), para las fechas aprobadas.",No disponible,
Resolución 38 de 2021 de Ministerio de la Industria Alimentaria,GOC-2021-425-O47,Declara los embalses de interés para la pesca comercial estatal acuícola que ejecutan las empresas integradas al Grupo Empresarial de la Industria Alimentaria y permite otros tipos de pesca que puede realizarse en dichos embalses.,No disponible,
Resolución 37 de 2021 de Ministerio de la Industria Alimentaria,GOC-2021-424-O47,Declara los embalses en los que puede practicarse la pesca estatal acuícola y la pesca deportiva y recreativa.,No disponible,
Resolución 36 de 2021 de Ministerio de la Industria Alimentaria,GOC-2021-423-O47,Aprueba el “Procedimiento para el otorgamiento de autorizaciones de pesca en la República de Cuba”.,Derogada,
Resolución  de 2021 de Ministerio de la Industria Alimentaria,GOC-2021-407-O44,Establece la talla mínima de captura para determinadas especies de esponjas de mar.,No disponible,
Resolución 132 de 2020 de Ministerio de la Industria Alimentaria,GOC-2020-919-EX78,Modifica la Resolución 18 de fecha 27 de enero de 2020 sobre las tarifas para las diferentes autorizaciones de pesca.,Derogada,
Resolución 66 de 2020 de Ministerio de la Industria Alimentaria,GOC-2020-479-O47,"Autoriza a las empresas Pesquera Industrial de Santa Cruz del Sur, en lo adelante EPISUR; Pesquera de Las Tunas, en lo adelante PESCATUN; Pesquera de Holguín, en lo adelante PESCAHOL y Pesquera de Guantánamo, en lo adelante PESCAGUAN, a calar tranques destinados a la captura de las especies Caranx ruber, cibí y C. crysos, cojinúa, en la zona nororiental de Cuba, durante los meses de julio, agosto y septiembre.",No disponible,
Resolución 65 de 2020 de Ministerio de la Industria Alimentaria,GOC-2020-478-O47,Inicia la campaña de pesca de langosta según las fechas y zonas establecidas.,No disponible,
Resolución 55 de 2020 de Ministerio de la Industria Alimentaria,GOC-2020-363-O33,Establece una cuota de captura máxima permisible de 655 toneladas para la biajaiba en el Golfo de Batabanó para el periodo comprendido entre el 1ro. de mayo al 31 de julio de 2020.,No disponible,
Resolución 7 de 2020 de Ministerio del Interior,GOC-2020-119-O11,"Designa las zonas en las que las Tropas Guardafronteras actúan fundamentalmente y establece la obligación del Ministerio del Interior de informar mensualmente al Ministerio de la Industria Alimentaria los datos de los infractores del régimen de pesca, las medidas aplicadas y el nombre de las embarcaciones vinculadas a la violación.",Derogada,
Resolución 23 de 2020 de Ministerio de la Industria Alimentaria,GOC-2020-118-O11,Aprueba el “REGLAMENTO DE LA COMISIÓN CONSULTIVA DE PESCA”.,No disponible,
Resolución 22 de 2020 de Ministerio de la Industria Alimentaria,GOC-2020-117-O11,"Establece las áreas marítimas donde actúa fundamentalmente la Oficina Nacional de Inspección Estatal de este Ministerio, en atención a su importancia económico-pesquera.",No disponible,
Resolución 21 de 2020 de Ministerio de la Industria Alimentaria,GOC-2020-116-O11,"Autoriza el desembarque de toda la captura que se obtenga en los eventos deportivos oficiales que se realicen, tanto en aguas marítimas como en embalses, a partir de la aprobación de la dirección encargada de las regulaciones pesqueras de este organismo y previo a la obtención de la correspondiente Licencia de Pesca.",No disponible,
Resolución 20 de 2020 de Ministerio de la Industria Alimentaria,GOC-2020-115-O11,Declara los embalses en los que puede practicarse la pesca deportiva y la pesca recreativa.,Modificada,
Resolución 19 de 2020 de Ministerio de la Industria Alimentaria,GOC-2020-114-O11,Declara los embalses de interés para la pesca comercial estatal acuícola que ejecutan las empresas integradas al Grupo Empresarial de la Industria Alimentaria y los embalses de interés para la pesca acuícola de autoconsumo.,Derogada,
Resolución 18 de 2020 de Ministerio de la Industria Alimentaria,GOC-2020-113-O11,Aprueba el: “PROCEDIMIENTO PARA EL OTORGAMIENTO DE AUTORIZACIONES DE PESCA EN LA REPÚBLICA DE CUBA”.,Modificada,
Decreto 1 de 2019 de Consejo de Ministros,GOC-2020-112-O11,"REGLAMENTO DE LA LEY 129 “LEY DE PESCA” Establece las regulaciones y los procedimientos para la administración, conservación y explotación económica sostenible de los recursos hidrobiológicos y en especial de los pesqueros, en las aguas marítimas, fluviales y lacustres de la República de Cuba.",No disponible,
Ley 129 de 2019 de Asamblea Nacional del Poder Popular,GOC-2020-111-O11,"LEY DE PESCA Establece las regulaciones para el adecuado ordenamiento, administración y control de la pesca, en función de la conservación y el aprovechamiento racional de los recursos hidrobiológicos en las aguas marítimas, fluviales y lacustres de la República de Cuba, con el fin de contribuir a la soberanía alimentaria de la nación.",No disponible,
Resolución 61 de 2019 de Ministerio de la Industria Alimentaria,GOC-2019-626-O52,Inicia la campaña de pesca de la langosta según las fechas y zonas establecidas.,No disponible,
Resolución 60 de 2019 de Ministerio de la Industria Alimentaria,GOC-2019-625-O52,"Autoriza a las empresas Pesquera Industrial de Santa Cruz del Sur (EPISUR); Pesquera de Las Tunas (PESCATUN); Pesquera de Holguín (PESCAHOL) y Pesquera de Guantánamo (PESCAGUÁN) a calar tranques destinados a la captura de las especies Caranx ruber (cibí) y C. crysos  (cojinúa), en la zona nororiental de Cuba durante los meses de julio, agosto y septiembre.",No disponible,
Resolución 44 de 2019 de Ministerio de la Industria Alimentaria,GOC-2019-484-O38,"Establece una cuota de captura máxima permisible de seiscientas cincuenta y cinco (655) toneladas para la biajaba (Lutjanus synagris) en el Golfo de Batabanó para el período comprendido entre el 1ro de mayo al 31 de julio de 2019, quedando obligadas las empresas a detener la pesquería dirigida a esta especie una vez alcanzada dicha cifra.",No disponible,
Resolución 43 de 2019 de Ministerio de la Industria Alimentaria,GOC-2019-483-O38,Autoriza a la Empresa Pesquera Industrial de Granma la pesquería  diurna de camarón blanco en las zonas I y II del Golfo de Guacanayabo hasta el 30 de junio de 2019.,No disponible,
Resolución 218 de 2018 de Ministerio de la Industria Alimentaria,GOC-2019-102-O3,"Inicia la campaña de pesca para el camarón rosado a partir del 3 de enero de 2019 hasta el 30 de junio de 2019 en las Empresas Pesqueras Industriales de Ciego de Avila, Santa Cruz del Sur, de Cienfuegos y Granma",No disponible,
Resolución 136 de 2018 de Ministerio de la Industria Alimentaria,GOC-2018-1006-O49,"Autoriza a las Empresas Pesquera Industrial de Santa Cruz del Sur (EPISUR); Pesquera de las Tunas (PESCATUN); Pesquera de Holguín (PESCAHOL) y Pesquera de Guantánamo (PESCAGUAN) a calar tranques destinados a la captura de las especies Caranx ruber(cibí) y C. crysos(cojinúa), en la zona nororiental de Cuba durante los meses de julio, agosto y septiembre.",No disponible,
Resolución 134 de 2018 de Ministerio de la Industria Alimentaria,GOC-2018-1005-O49,Inicia la campaña de pesca de la langosta según las fechas y zonas establecidas.,No disponible,
Resolución 109 de 2018 de Ministerio de la Industria Alimentaria,GOC-2018-734-O35,"Autoriza la captura de 100 toneladas adicionales de la especie Farfantepenaeus notialis,conocida como camarón rosado, a la Empresa Pesquera Industrial de Cienfuegos en las zonas referidas en el TERCER POR CUANTO, durante la presente campaña.",No disponible,
Resolución 130 de 2017 de Ministerio de la Industria Alimentaria,No disponible,"Inicia la campaña de pesca de langosta, según fechas establecidas.",No disponible,
